,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,38.0,26.8,23.0,17.42,661.88,1,38,33,83,2019
1,Inter Milan,34.0,26.7,18.0,17.83,606.05,2,38,45,82,2019
2,SSC Napoli,33.0,26.7,24.0,16.61,548.28,7,38,11,62,2019
3,AC Milan,37.0,25.2,22.0,10.93,404.33,6,38,17,66,2019
4,AS Roma,36.0,25.6,23.0,10.91,392.73,5,38,26,70,2019
5,SS Lazio,34.0,26.1,24.0,8.94,303.88,4,38,37,78,2019
6,ACF Fiorentina,42.0,24.7,28.0,7.2,302.23,10,38,3,49,2019
7,Atalanta BC,37.0,24.9,26.0,7.88,291.43,3,38,50,78,2019
8,US Sassuolo,44.0,24.3,17.0,3.82,167.98,8,38,6,51,2019
9,Cagliari Calcio,41.0,25.8,16.0,4.09,167.83,14,38,-4,45,2019
10,Torino FC,37.0,24.7,17.0,4.42,163.55,16,38,-22,40,2019
11,Genoa CFC,43.0,26.2,25.0,3.31,142.38,17,38,-26,39,2019
12,UC Sampdoria,38.0,25.1,19.0,3.56,135.28,15,38,-17,42,2019
13,Bologna FC 1909,40.0,24.5,26.0,3.24,129.65,12,38,-13,47,2019
14,Parma Calcio 1913,40.0,26.1,19.0,3.22,128.75,11,38,-1,49,2019
15,Udinese Calcio,39.0,24.9,28.0,3.1,121.08,13,38,-14,45,2019
16,Hellas Verona,40.0,25.0,19.0,2.81,112.53,9,38,-4,49,2019
17,Brescia Calcio,33.0,25.9,11.0,2.52,83.23,19,38,-44,25,2019
18,SPAL,42.0,25.6,23.0,1.75,73.63,20,38,-50,20,2019
19,US Lecce,47.0,25.0,17.0,1.11,52.33,18,38,-33,35,2019
