,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,FC Internazionale,48.0,25.4,31.0,6.46,310.0,1,38,43,85,2007
1,AC Milan,41.0,27.1,18.0,6.81,279.4,5,38,28,64,2007
2,AS Roma,37.0,25.7,19.0,6.61,244.4,2,38,35,82,2007
3,Juventus FC,38.0,25.3,14.0,6.23,236.85,3,38,35,72,2007
4,ACF Fiorentina,46.0,23.3,16.0,3.73,171.35,4,38,16,66,2007
5,Udinese Calcio,49.0,22.7,24.0,2.35,115.05,7,38,-5,57,2007
6,SS Lazio,40.0,26.1,15.0,2.77,110.8,12,38,-4,46,2007
7,US Palermo,43.0,23.7,6.0,2.44,104.8,11,38,-10,47,2007
8,SSC Napoli,30.0,26.8,9.0,2.57,76.95,8,38,-3,50,2007
9,UC Sampdoria,41.0,24.3,8.0,1.85,75.7,6,38,10,60,2007
10,Genoa CFC,45.0,24.9,17.0,1.41,63.25,10,38,-8,48,2007
11,Torino FC,40.0,25.3,8.0,1.5,60.05,15,38,-13,40,2007
12,Calcio Catania,40.0,27.0,11.0,1.46,58.4,17,38,-12,37,2007
13,Atalanta BC,38.0,25.5,10.0,1.44,54.8,9,38,-4,48,2007
14,Parma FC,41.0,25.5,7.0,1.28,52.5,19,38,-20,34,2007
15,Empoli FC,38.0,24.2,3.0,1.3,49.5,18,38,-23,36,2007
16,AS Livorno,36.0,26.8,10.0,1.34,48.35,20,38,-25,30,2007
17,Reggina Calcio,45.0,23.1,15.0,0.983,44.23,16,38,-19,40,2007
18,AC Siena,42.0,25.9,18.0,1.02,42.8,13,38,-5,44,2007
19,Cagliari Calcio,42.0,24.5,11.0,0.981,41.2,14,38,-16,42,2007
