,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,48.0,25.6,20.0,8.16,391.45,1,38,57,102,2013
1,FC Internazionale,63.0,24.3,36.0,4.65,292.65,5,38,23,60,2013
2,SSC Napoli,36.0,26.8,25.0,7.68,276.6,3,38,38,78,2013
3,AC Milan,47.0,25.3,22.0,5.62,263.95,8,38,8,57,2013
4,ACF Fiorentina,56.0,25.3,34.0,4.45,249.13,4,38,21,65,2013
5,AS Roma,59.0,23.9,30.0,4.18,246.4,2,38,47,85,2013
6,SS Lazio,54.0,25.0,33.0,3.02,162.95,9,38,0,56,2013
7,Udinese Calcio,63.0,23.7,41.0,1.97,123.95,13,38,-11,44,2013
8,Genoa CFC,66.0,24.4,33.0,1.55,102.1,14,38,-9,44,2013
9,Parma FC,48.0,25.2,22.0,1.87,89.78,6,38,12,58,2013
10,US Sassuolo,56.0,25.0,12.0,1.57,87.85,17,38,-29,34,2013
11,Cagliari Calcio,36.0,24.9,15.0,2.39,86.2,15,38,-19,39,2013
12,UC Sampdoria,58.0,24.5,19.0,1.44,83.48,12,38,-14,45,2013
13,Torino FC,43.0,25.4,20.0,1.87,80.25,7,38,10,57,2013
14,Calcio Catania,54.0,24.3,28.0,1.46,78.98,18,38,-32,32,2013
15,Atalanta BC,62.0,25.0,14.0,1.19,73.93,11,38,-8,50,2013
16,AS Livorno,48.0,24.9,14.0,1.48,71.18,20,38,-38,25,2013
17,Bologna FC 1909,64.0,24.7,26.0,1.09,69.83,19,38,-30,29,2013
18,Chievo Verona,72.0,25.0,35.0,0.959,69.08,16,38,-20,36,2013
19,Hellas Verona,54.0,25.5,22.0,1.24,67.13,10,38,-6,54,2013
