,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Inter Milan,41.0,25.2,22.0,16.19,663.9,1,38,54,91,2020
1,Juventus FC,45.0,24.7,26.0,14.07,633.3,4,38,39,78,2020
2,AC Milan,42.0,23.9,27.0,13.04,547.78,2,38,33,79,2020
3,SSC Napoli,32.0,26.0,21.0,16.57,530.2,5,38,45,77,2020
4,Atalanta BC,39.0,25.0,21.0,11.03,430.0,3,38,43,78,2020
5,AS Roma,46.0,24.6,28.0,8.6,395.65,7,38,10,62,2020
6,SS Lazio,44.0,25.6,32.0,7.42,326.33,6,38,6,68,2020
7,ACF Fiorentina,41.0,25.7,24.0,7.0,286.8,13,38,-12,40,2020
8,US Sassuolo,39.0,24.9,18.0,6.2,241.74,8,38,8,62,2020
9,Cagliari Calcio,42.0,25.4,19.0,4.47,187.83,16,38,-16,37,2020
10,Torino FC,40.0,25.4,22.0,4.38,175.28,17,38,-19,37,2020
11,Udinese Calcio,42.0,25.8,30.0,4.12,173.0,14,38,-16,40,2020
12,Hellas Verona,46.0,24.2,20.0,3.42,157.21,10,38,-2,45,2020
13,Bologna FC 1909,45.0,24.1,28.0,3.41,153.6,12,38,-14,41,2020
14,Parma Calcio 1913,53.0,25.1,30.0,2.43,128.7,20,38,-44,20,2020
15,UC Sampdoria,34.0,26.4,18.0,3.74,127.18,9,38,-2,52,2020
16,Genoa CFC,44.0,26.5,23.0,2.54,111.93,11,38,-11,42,2020
17,Spezia Calcio,39.0,25.7,17.0,1.84,71.68,15,38,-20,39,2020
18,FC Crotone,41.0,26.0,19.0,1.29,52.75,19,38,-47,23,2020
19,Benevento Calcio,36.0,27.4,14.0,1.39,50.13,18,38,-35,33,2020
