,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,38.0,25.5,21.0,11.58,440.0,1,38,55,91,2015
1,AS Roma,48.0,24.7,33.0,6.94,332.9,3,38,42,80,2015
2,SSC Napoli,34.0,25.9,22.0,9.47,321.93,2,38,48,82,2015
3,Inter Milan,42.0,25.2,30.0,7.01,294.28,4,38,12,67,2015
4,AC Milan,42.0,25.5,16.0,5.09,213.83,7,38,6,57,2015
5,ACF Fiorentina,39.0,26.1,29.0,4.89,190.53,5,38,18,64,2015
6,SS Lazio,38.0,25.7,26.0,4.61,175.3,8,38,0,54,2015
7,UC Sampdoria,43.0,26.0,22.0,2.94,126.53,15,38,-13,40,2015
8,Genoa CFC,47.0,24.2,27.0,2.5,117.55,10,38,-3,46,2015
9,US Sassuolo,39.0,24.7,5.0,2.49,97.0,6,38,9,61,2015
10,Udinese Calcio,43.0,26.3,31.0,2.16,93.0,17,38,-25,39,2015
11,Torino FC,39.0,25.7,17.0,2.3,89.83,12,38,-3,45,2015
12,Atalanta BC,44.0,26.8,15.0,1.78,78.45,13,38,-6,45,2015
13,Bologna FC 1909,42.0,25.7,17.0,1.79,75.23,14,38,-12,42,2015
14,Empoli FC,38.0,24.1,16.0,1.96,74.6,11,38,-9,46,2015
15,US Palermo,40.0,24.5,21.0,1.72,68.68,16,38,-27,39,2015
16,Carpi FC 1909,41.0,25.9,18.0,1.27,52.05,18,38,-20,38,2015
17,Chievo Verona,40.0,27.5,17.0,1.24,49.78,9,38,-2,50,2015
18,Hellas Verona,42.0,25.9,20.0,1.14,47.73,20,38,-29,28,2015
19,Frosinone Calcio,35.0,26.2,10.0,1.09,38.3,19,38,-41,31,2015
