,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,59.0,25.0,25.0,14.76,871.05,1,38,40,90,2018
1,SSC Napoli,54.0,24.3,27.0,11.98,646.8,2,38,38,79,2018
2,Inter Milan,60.0,24.0,30.0,10.3,617.93,4,38,24,69,2018
3,AC Milan,45.0,24.4,22.0,12.86,578.48,5,38,19,68,2018
4,AS Roma,57.0,23.7,27.0,8.05,459.05,6,38,18,66,2018
5,Atalanta BC,88.0,22.7,29.0,4.18,367.68,3,38,31,69,2018
6,ACF Fiorentina,56.0,22.9,36.0,5.63,315.33,16,38,2,41,2018
7,SS Lazio,57.0,24.4,33.0,5.11,291.15,8,38,10,59,2018
8,US Sassuolo,59.0,23.8,15.0,4.1,242.05,11,38,-7,43,2018
9,Torino FC,62.0,23.7,29.0,3.86,239.23,7,38,15,63,2018
10,UC Sampdoria,59.0,23.5,30.0,3.67,216.75,9,38,9,53,2018
11,Udinese Calcio,56.0,24.7,41.0,3.59,201.2,12,38,-14,43,2018
12,Genoa CFC,69.0,23.8,35.0,2.78,191.73,17,38,-18,38,2018
13,Cagliari Calcio,49.0,25.9,18.0,3.17,155.38,15,38,-18,41,2018
14,Bologna FC 1909,48.0,25.0,28.0,2.49,119.68,10,38,-8,44,2018
15,Empoli FC,59.0,24.1,24.0,1.79,105.6,18,38,-19,38,2018
16,SPAL,51.0,25.3,20.0,1.91,97.4,13,38,-12,42,2018
17,Parma Calcio 1913,70.0,25.6,19.0,1.37,95.75,14,38,-20,41,2018
18,Chievo Verona,68.0,24.7,32.0,0.804,54.7,20,38,-50,17,2018
19,Frosinone Calcio,44.0,25.8,10.0,1.24,54.53,19,38,-40,25,2018
