,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,AC Parma,46.0,23.1,12.0,26.0,1.2,5,34,11,58,2003
1,Juventus FC,40.0,25.6,15.0,-,-,3,34,25,69,2003
2,FC Internazionale,43.0,25.7,25.0,-,-,4,34,22,59,2003
3,AS Roma,43.0,23.5,16.0,-,-,2,34,49,71,2003
4,AC Milan,38.0,26.1,15.0,-,-,1,34,41,82,2003
5,UC Sampdoria,34.0,26.3,5.0,-,-,8,34,-2,46,2003
6,Udinese Calcio,36.0,25.3,20.0,-,-,7,34,4,50,2003
7,AC Perugia,61.0,25.0,22.0,-,-,15,34,-12,32,2003
8,SS Lazio,36.0,27.4,11.0,-,-,6,34,14,56,2003
9,Brescia Calcio,42.0,24.4,13.0,-,-,11,34,-5,40,2003
10,US Lecce,39.0,23.5,14.0,-,-,10,34,-13,41,2003
11,Empoli FC,38.0,24.2,5.0,-,-,17,34,-28,30,2003
12,Bologna FC 1909,38.0,25.4,9.0,-,-,12,34,-8,39,2003
13,Reggina Calcio,35.0,24.4,10.0,-,-,13,34,-16,34,2003
14,Modena FC,41.0,25.9,6.0,-,-,16,34,-19,30,2003
15,AC Siena,36.0,26.5,13.0,-,-,14,34,-13,34,2003
16,Chievo Verona,41.0,24.9,7.0,-,-,9,34,-1,44,2003
17,Ancona Calcio,58.0,26.9,14.0,-,-,18,34,-49,13,2003
