,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,SS Lazio,31.0,24.5,6.0,-,-,3,34,35,63,1994
1,Calcio Padova,25.0,26.5,3.0,-,-,15,34,-21,40,1994
2,Milan AC,32.0,26.7,5.0,-,-,4,34,21,60,1994
3,Torino Calcio,36.0,24.3,4.0,-,-,11,34,-4,45,1994
4,AC Reggiana,34.0,23.4,5.0,-,-,17,34,-32,18,1994
5,AS Roma,25.0,25.4,4.0,-,-,5,34,21,59,1994
6,SSC Napoli,29.0,24.0,4.0,-,-,7,34,-5,51,1994
7,Brescia Calcio,35.0,24.9,3.0,-,-,18,34,-47,12,1994
8,Juventus FC,30.0,24.4,4.0,-,-,1,34,27,73,1994
9,FC Internazionale,30.0,25.2,5.0,-,-,6,34,5,52,1994
10,Foggia Calcio,26.0,23.0,1.0,-,-,16,34,-18,34,1994
11,AC Parma,29.0,27.4,5.0,-,-,2,34,20,63,1994
12,UC Sampdoria,28.0,26.3,4.0,-,-,8,34,14,50,1994
13,Genoa 1893,31.0,26.0,3.0,-,-,14,34,-15,40,1994
14,Cagliari Calcio,24.0,24.8,3.0,-,-,9,34,1,49,1994
15,AS Bari,24.0,25.1,2.0,-,-,12,34,-3,44,1994
16,US Cremonese,22.0,26.7,1.0,-,-,13,34,-3,41,1994
