,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,FC Internazionale,48.0,25.4,28.0,6.31,303.05,6,38,3,58,2011
1,AC Milan,45.0,26.2,21.0,6.08,273.53,2,38,41,80,2011
2,Juventus FC,34.0,27.8,12.0,7.71,262.28,1,38,48,84,2011
3,SSC Napoli,29.0,28.2,15.0,7.06,204.75,5,38,20,61,2011
4,AS Roma,39.0,25.5,18.0,4.43,172.78,7,38,6,56,2011
5,Udinese Calcio,49.0,23.4,25.0,2.86,140.13,3,38,17,64,2011
6,ACF Fiorentina,40.0,24.6,21.0,3.27,130.83,13,38,-6,46,2011
7,US Palermo,46.0,24.5,25.0,2.59,119.05,16,38,-10,43,2011
8,SS Lazio,52.0,25.3,22.0,2.19,113.63,4,38,9,62,2011
9,Genoa CFC,39.0,25.7,21.0,2.67,104.3,17,38,-19,42,2011
10,Parma FC,43.0,25.2,12.0,1.92,82.35,8,38,1,56,2011
11,Cagliari Calcio,33.0,24.8,12.0,2.17,71.65,15,38,-9,43,2011
12,Atalanta BC,36.0,27.4,5.0,1.88,67.58,12,38,-2,46,2011
13,Bologna FC 1909,41.0,24.8,18.0,1.56,63.9,9,38,-2,51,2011
14,Calcio Catania,39.0,26.5,21.0,1.52,59.25,11,38,-5,48,2011
15,Chievo Verona,40.0,26.2,20.0,1.12,44.8,10,38,-10,49,2011
16,AC Siena,37.0,26.9,10.0,1.06,39.33,14,38,0,44,2011
17,US Lecce,41.0,25.8,17.0,915.0,37.53,18,38,-16,36,2011
18,Novara Calcio 1908,38.0,26.8,13.0,748.0,28.43,19,38,-30,32,2011
