,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,AC Milan,43.0,27.0,16.0,6.38,274.35,4,38,21,61,2006
1,FC Internazionale,59.0,23.8,31.0,4.53,267.23,1,38,46,97,2006
2,AS Roma,40.0,24.7,17.0,5.17,206.65,2,38,40,75,2006
3,ACF Fiorentina,38.0,24.1,15.0,4.2,159.6,6,38,31,58,2006
4,US Palermo,52.0,23.8,8.0,2.45,127.28,5,38,7,58,2006
5,SS Lazio,34.0,26.7,10.0,3.1,105.35,3,38,26,62,2006
6,Udinese Calcio,52.0,21.9,25.0,2.01,104.58,10,38,-6,46,2006
7,Chievo Verona,53.0,24.9,9.0,1.58,83.5,18,38,-10,39,2006
8,UC Sampdoria,42.0,24.3,9.0,1.65,69.45,9,38,-4,49,2006
9,AS Livorno,34.0,27.9,11.0,2.01,68.33,11,38,-13,43,2006
10,Torino FC,37.0,28.9,7.0,1.5,55.55,16,38,-20,40,2006
11,Atalanta BC,40.0,25.5,8.0,1.34,53.48,8,38,2,50,2006
12,Reggina Calcio,43.0,24.1,7.0,1.17,50.1,14,38,2,40,2006
13,Parma FC,38.0,24.2,8.0,1.23,46.9,12,38,-15,42,2006
14,AC Siena,39.0,26.1,12.0,1.18,46.08,15,38,-10,40,2006
15,Cagliari Calcio,35.0,24.9,5.0,1.29,45.1,17,38,-11,40,2006
16,Empoli FC,35.0,24.3,2.0,1.27,44.3,7,38,-1,54,2006
17,FC Messina Peloro,46.0,26.5,12.0,0.882,40.58,20,38,-32,26,2006
18,Calcio Catania,36.0,27.3,6.0,1.07,38.6,13,38,-22,41,2006
19,Ascoli Calcio 1898,47.0,25.9,9.0,0.549,25.8,19,38,-31,27,2006
