,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,35.0,27.0,12.0,9.4,329.0,1,38,48,87,2014
1,AS Roma,43.0,25.9,24.0,6.44,276.78,2,38,23,70,2014
2,SSC Napoli,34.0,26.7,23.0,7.71,262.18,5,38,16,63,2014
3,Inter Milan,44.0,24.5,32.0,5.93,260.7,8,38,11,55,2014
4,AC Milan,47.0,25.2,19.0,5.02,236.13,10,38,6,52,2014
5,ACF Fiorentina,49.0,25.9,30.0,4.41,216.13,4,38,15,64,2014
6,SS Lazio,36.0,26.3,27.0,4.65,167.55,3,38,33,69,2014
7,UC Sampdoria,41.0,25.6,20.0,3.23,132.23,7,38,6,56,2014
8,Genoa CFC,48.0,25.1,21.0,2.44,117.33,6,38,15,59,2014
9,Udinese Calcio,50.0,23.9,36.0,2.14,107.18,16,38,-13,41,2014
10,US Palermo,40.0,24.9,22.0,2.32,92.6,11,38,-2,49,2014
11,US Sassuolo,41.0,26.3,8.0,2.22,91.03,12,38,-8,49,2014
12,Atalanta BC,42.0,26.9,16.0,1.99,83.48,17,38,-19,37,2014
13,Torino FC,45.0,26.0,21.0,1.84,82.58,9,38,3,54,2014
14,Cagliari Calcio,36.0,24.5,14.0,2.08,74.7,18,38,-20,34,2014
15,Parma FC,55.0,25.1,24.0,1.2,65.95,20,38,-42,19,2014
16,Chievo Verona,40.0,27.6,23.0,1.55,62.05,14,38,-13,43,2014
17,Empoli FC,40.0,23.8,13.0,1.35,54.03,15,38,-6,42,2014
18,Hellas Verona,38.0,26.4,23.0,1.1,41.8,13,38,-16,46,2014
19,AC Cesena,37.0,25.9,10.0,0.923,34.15,19,38,-37,24,2014
