,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,36.0,26.5,15.0,8.58,308.9,20,38,47,0,2005
1,AC Milan,36.0,27.4,17.0,7.49,269.75,3,38,54,58,2005
2,FC Internazionale,52.0,24.9,31.0,4.52,234.93,1,38,38,76,2005
3,AS Roma,42.0,23.8,12.0,4.27,179.2,2,38,28,69,2005
4,ACF Fiorentina,43.0,25.9,15.0,3.23,138.68,9,38,25,44,2005
5,US Palermo,43.0,24.8,7.0,2.19,94.2,5,38,-2,52,2005
6,Udinese Calcio,45.0,24.4,17.0,1.99,89.6,11,38,-14,43,2005
7,SS Lazio,50.0,25.4,14.0,1.66,83.05,16,38,10,32,2005
8,UC Sampdoria,39.0,25.4,5.0,1.58,61.5,12,38,-4,41,2005
9,Parma FC,39.0,24.5,8.0,1.46,57.05,7,38,-14,45,2005
10,AS Livorno,35.0,26.5,9.0,1.61,56.38,6,38,-7,49,2005
11,US Lecce,42.0,23.5,13.0,1.24,52.15,18,38,-27,29,2005
12,Chievo Verona,34.0,25.8,5.0,1.46,49.55,4,38,5,54,2005
13,Reggina Calcio,42.0,24.6,8.0,1.04,43.65,13,38,-26,41,2005
14,FC Messina Peloro,41.0,25.8,12.0,975.0,39.98,17,38,-26,31,2005
15,Empoli FC,30.0,26.4,3.0,1.23,37.0,8,38,-14,45,2005
16,Cagliari Calcio,31.0,25.0,5.0,1.15,35.65,14,38,-13,39,2005
17,AC Siena,33.0,27.5,6.0,1.06,34.98,15,38,-18,39,2005
18,Ascoli Calcio 1898,48.0,25.3,6.0,511.0,24.55,10,38,-10,43,2005
19,Treviso FBC 1993,50.0,25.0,13.0,471.0,23.53,19,38,-32,21,2005
