,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,33.0,26.6,17.0,19.79,653.15,1,38,62,95,2017
1,SSC Napoli,40.0,25.2,24.0,12.61,504.25,2,38,48,91,2017
2,Inter Milan,34.0,25.9,22.0,14.33,487.28,4,38,36,72,2017
3,AS Roma,47.0,23.7,26.0,9.98,469.1,3,38,33,77,2017
4,SS Lazio,44.0,24.8,28.0,9.29,408.78,5,38,40,72,2017
5,AC Milan,42.0,24.5,17.0,9.69,407.05,6,38,14,64,2017
6,ACF Fiorentina,41.0,23.8,26.0,5.79,237.33,8,38,8,57,2017
7,Atalanta BC,37.0,23.6,17.0,5.62,207.95,7,38,18,60,2017
8,UC Sampdoria,39.0,24.6,25.0,4.88,190.45,10,38,-4,54,2017
9,Torino FC,51.0,23.8,24.0,3.44,175.53,9,38,8,54,2017
10,Genoa CFC,44.0,26.0,25.0,3.07,135.13,12,38,-10,41,2017
11,US Sassuolo,39.0,25.0,7.0,3.25,126.78,11,38,-30,43,2017
12,Udinese Calcio,46.0,24.0,35.0,2.35,108.03,14,38,-15,40,2017
13,Bologna FC 1909,41.0,25.3,24.0,2.53,103.55,15,38,-12,39,2017
14,Cagliari Calcio,41.0,25.4,13.0,2.4,98.58,16,38,-28,39,2017
15,SPAL 2013,42.0,25.4,13.0,1.51,63.55,17,38,-20,38,2017
16,Benevento Calcio,48.0,25.1,21.0,1.2,57.83,20,38,-51,21,2017
17,Hellas Verona,41.0,25.5,18.0,1.38,56.5,19,38,-48,25,2017
18,Chievo Verona,36.0,27.4,16.0,1.53,55.23,13,38,-23,40,2017
19,FC Crotone,40.0,24.1,19.0,1.2,47.88,18,38,-26,35,2017
