,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Udinese Calcio,37.0,23.2,17.0,-,-,8,34,10,50,1999
1,Reggina Calcio,34.0,24.9,7.0,-,-,11,34,-11,40,1999
2,Torino Calcio,41.0,26.2,10.0,-,-,15,34,-12,36,1999
3,Cagliari Calcio,35.0,24.7,11.0,-,-,17,34,-25,22,1999
4,AS Roma,43.0,24.0,15.0,-,-,6,34,23,54,1999
5,Piacenza FC,31.0,25.9,0.0,-,-,18,34,-26,21,1999
6,FC Internazionale,40.0,25.5,20.0,-,-,4,34,22,58,1999
7,Juventus FC,35.0,24.5,13.0,-,-,2,34,26,71,1999
8,Hellas Verona,33.0,25.4,6.0,-,-,9,34,-5,43,1999
9,AS Bari,38.0,23.7,13.0,-,-,14,34,-14,39,1999
10,US Lecce,36.0,26.7,7.0,-,-,13,34,-16,40,1999
11,SS Lazio,35.0,26.3,12.0,-,-,1,34,31,72,1999
12,Bologna FC 1909,35.0,25.9,9.0,-,-,12,34,-7,40,1999
