,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Torino Calcio,32.0,23.5,5.0,-,-,16,34,-18,29,1995
1,Vicenza Calcio,25.0,24.9,3.0,-,-,9,34,-1,49,1995
2,Milan AC,30.0,26.9,6.0,-,-,1,34,36,73,1995
3,Calcio Padova,31.0,24.8,4.0,-,-,18,34,-38,24,1995
4,AS Roma,28.0,25.3,6.0,-,-,5,34,17,58,1995
5,Juventus FC,28.0,25.7,4.0,-,-,2,34,23,65,1995
6,SSC Napoli,26.0,24.9,3.0,-,-,12,34,-13,41,1995
7,FC Internazionale,30.0,25.3,5.0,-,-,7,34,21,54,1995
8,Atalanta BC,28.0,25.4,4.0,-,-,13,34,-12,39,1995
9,UC Sampdoria,28.0,25.4,3.0,-,-,8,34,12,52,1995
10,AS Bari,28.0,24.6,5.0,-,-,15,34,-22,32,1995
11,Cagliari Calcio,28.0,25.2,3.0,-,-,10,34,-13,41,1995
12,SS Lazio,28.0,25.1,3.0,-,-,3,34,28,59,1995
13,Piacenza FC,25.0,24.4,0.0,-,-,14,34,-17,37,1995
14,Udinese Calcio,30.0,25.4,5.0,-,-,11,34,-8,41,1995
15,US Cremonese,29.0,25.4,3.0,-,-,17,34,-20,27,1995
16,AC Parma,29.0,26.7,5.0,-,-,6,34,13,58,1995
