,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,SS Lazio,38.0,25.8,14.0,-,-,3,34,29,69,2000
1,Udinese Calcio,43.0,23.6,22.0,-,-,12,34,-10,38,2000
2,AS Roma,37.0,24.5,14.0,-,-,1,34,35,75,2000
3,Brescia Calcio,33.0,27.4,11.0,-,-,8,34,2,44,2000
4,Juventus FC,43.0,24.1,16.0,-,-,2,34,34,73,2000
5,Atalanta BC,39.0,24.2,5.0,-,-,7,34,4,44,2000
6,AC Parma,38.0,25.0,16.0,-,-,4,34,20,56,2000
7,AC Perugia,42.0,25.7,12.0,-,-,11,34,-4,42,2000
8,Hellas Verona,38.0,24.3,6.0,-,-,15,34,-19,37,2000
9,US Lecce,40.0,25.2,11.0,-,-,13,34,-14,37,2000
10,Bologna FC 1909,37.0,24.4,8.0,-,-,10,34,-4,43,2000
11,FC Internazionale,47.0,24.2,24.0,-,-,5,34,0,51,2000
12,Milan AC,48.0,25.3,22.0,-,-,6,34,10,49,2000
13,Reggina Calcio,33.0,24.0,9.0,-,-,14,34,-17,37,2000
14,Vicenza Calcio,40.0,25.4,10.0,-,-,16,34,-14,36,2000
15,SSC Napoli,43.0,24.4,13.0,-,-,17,34,-16,36,2000
16,AS Bari,45.0,23.6,15.0,-,-,18,34,-37,20,2000
