,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Udinese Calcio,39.0,23.4,15.0,-,-,3,34,22,64,1997
1,Piacenza FC,27.0,26.4,0.0,-,-,12,34,-9,37,1997
2,Milan AC,38.0,24.7,16.0,-,-,10,34,-6,44,1997
3,Vicenza Calcio,30.0,24.4,4.0,-,-,14,34,-25,36,1997
4,AS Roma,33.0,24.7,12.0,-,-,4,34,25,59,1997
5,Juventus FC,34.0,24.1,8.0,-,-,1,34,39,74,1997
6,SSC Napoli,34.0,25.1,7.0,-,-,18,34,-51,14,1997
7,Empoli FC,38.0,24.3,4.0,-,-,13,34,-8,37,1997
8,FC Internazionale,40.0,24.3,13.0,-,-,2,34,35,69,1997
9,Atalanta BC,34.0,24.8,5.0,-,-,16,34,-23,32,1997
10,AC Parma,33.0,25.4,10.0,-,-,6,34,16,57,1997
11,US Lecce,35.0,25.7,8.0,-,-,17,34,-40,26,1997
12,AS Bari,32.0,24.5,7.0,-,-,11,34,-15,38,1997
13,Bologna FC 1909,35.0,25.6,5.0,-,-,8,34,9,48,1997
14,SS Lazio,31.0,25.7,6.0,-,-,7,34,23,56,1997
15,UC Sampdoria,32.0,26.3,13.0,-,-,9,34,-3,48,1997
16,Brescia Calcio,33.0,25.9,7.0,-,-,15,34,-18,35,1997
