,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,43.0,25.0,24.0,14.94,642.5,4,38,20,70,2021
1,Inter Milan,36.0,27.2,20.0,15.52,558.55,2,38,52,84,2021
2,AC Milan,37.0,25.3,22.0,14.78,546.95,1,38,38,86,2021
3,SSC Napoli,37.0,25.3,20.0,12.9,477.23,3,38,43,79,2021
4,Atalanta BC,44.0,24.5,24.0,9.06,398.75,8,38,17,59,2021
5,AS Roma,39.0,23.8,25.0,9.78,381.25,6,38,16,63,2021
6,ACF Fiorentina,38.0,25.4,22.0,8.57,325.8,7,38,8,62,2021
7,SS Lazio,34.0,27.2,24.0,7.78,264.48,5,38,19,64,2021
8,US Sassuolo,43.0,25.0,21.0,5.84,251.0,11,38,-2,50,2021
9,Torino FC,41.0,24.8,25.0,5.45,223.4,10,38,5,50,2021
10,Hellas Verona,43.0,24.7,19.0,3.79,162.98,9,38,6,53,2021
11,Udinese Calcio,44.0,25.0,26.0,3.23,142.3,12,38,3,47,2021
12,Cagliari Calcio,46.0,25.0,23.0,2.92,134.53,18,38,-34,30,2021
13,UC Sampdoria,46.0,26.2,19.0,2.79,128.55,15,38,-17,36,2021
14,FC Empoli,40.0,24.5,12.0,3.16,126.5,14,38,-20,41,2021
15,Genoa CFC,47.0,26.1,24.0,2.58,121.28,19,38,-33,28,2021
16,Venezia FC,51.0,24.7,35.0,1.59,80.98,20,38,-35,27,2021
17,Spezia Calcio,34.0,23.6,23.0,2.31,78.5,16,38,-30,36,2021
18,US Salernitana 1919,51.0,25.9,26.0,1.38,70.56,17,38,-45,31,2021
