,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,FC Internazionale,32.0,27.9,25.0,10.25,327.9,1,38,38,84,2008
1,AC Milan,35.0,27.7,19.0,9.13,319.4,3,38,35,74,2008
2,AS Roma,40.0,25.8,18.0,6.67,266.8,6,38,3,63,2008
3,Juventus FC,34.0,26.6,14.0,7.55,256.85,2,38,32,74,2008
4,ACF Fiorentina,38.0,25.0,18.0,5.19,197.1,4,38,15,68,2008
5,Udinese Calcio,37.0,23.6,20.0,3.37,124.65,7,38,11,58,2008
6,SS Lazio,37.0,25.4,17.0,2.96,109.65,10,38,-9,50,2008
7,US Palermo,47.0,23.9,11.0,2.26,106.35,8,38,7,57,2008
8,SSC Napoli,31.0,27.0,10.0,3.27,101.5,12,38,-2,46,2008
9,UC Sampdoria,47.0,23.5,12.0,2.01,94.3,13,38,-3,46,2008
10,Genoa CFC,47.0,23.2,15.0,1.95,91.7,5,38,17,68,2008
11,Torino FC,35.0,27.2,4.0,1.85,64.9,18,38,-24,34,2008
12,Atalanta BC,36.0,25.0,7.0,1.78,64.2,11,38,-3,47,2008
13,Calcio Catania,37.0,26.5,12.0,1.35,49.9,15,38,-10,43,2008
14,US Lecce,43.0,25.0,21.0,1.06,45.78,20,38,-30,30,2008
15,Cagliari Calcio,36.0,24.1,6.0,1.27,45.68,9,38,-1,53,2008
16,AC Siena,40.0,25.1,17.0,1.13,45.3,14,38,-11,44,2008
17,Bologna FC 1909,34.0,28.3,7.0,1.19,40.3,17,38,-19,37,2008
18,Chievo Verona,38.0,27.1,11.0,1.01,38.25,16,38,-14,38,2008
19,Reggina Calcio,42.0,24.3,13.0,0.854,35.85,19,38,-32,31,2008
