,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,40.0,26.3,17.0,8.45,337.9,1,38,47,87,2012
1,FC Internazionale,55.0,24.3,33.0,4.41,242.8,9,38,-2,54,2012
2,AC Milan,42.0,25.5,22.0,5.68,238.53,3,38,28,72,2012
3,SSC Napoli,41.0,26.2,18.0,5.79,237.25,2,38,37,78,2012
4,ACF Fiorentina,42.0,25.2,25.0,5.09,213.65,4,38,28,70,2012
5,AS Roma,37.0,24.6,22.0,4.69,173.4,6,38,15,62,2012
6,SS Lazio,55.0,24.9,29.0,2.61,143.28,7,38,9,61,2012
7,Udinese Calcio,48.0,23.3,23.0,2.52,121.0,5,38,14,66,2012
8,Genoa CFC,46.0,26.5,23.0,2.14,98.5,17,38,-14,38,2012
9,UC Sampdoria,37.0,25.3,17.0,2.32,85.93,14,38,-8,42,2012
10,Parma FC,42.0,25.6,18.0,2.04,85.78,10,38,-1,49,2012
11,US Palermo,52.0,25.2,29.0,1.56,80.95,18,38,-20,32,2012
12,Bologna FC 1909,49.0,24.5,18.0,1.6,78.55,13,38,-6,44,2012
13,Calcio Catania,38.0,25.4,22.0,2.01,76.48,8,38,4,56,2012
14,Cagliari Calcio,34.0,24.0,12.0,2.25,76.38,11,38,-12,47,2012
15,Atalanta BC,43.0,27.7,12.0,1.72,74.1,15,38,-17,40,2012
16,Torino FC,38.0,25.8,18.0,1.62,61.6,16,38,-9,39,2012
17,Chievo Verona,46.0,26.8,26.0,1.2,55.1,12,38,-15,45,2012
18,Delfino Pescara 1936,52.0,24.5,15.0,0.919,47.8,20,38,-57,22,2012
19,AC Siena,48.0,27.3,17.0,0.989,47.48,19,38,-21,30,2012
