,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
870,SSC Napoli,34.0,26.7,12.0,4.28,145.63,6,38,7,59,2009
871,SS Lazio,62.0,24.8,23.0,2.28,141.1,12,38,-4,46,2009
872,Genoa CFC,47.0,24.2,17.0,2.89,135.85,9,38,-4,51,2009
873,Udinese Calcio,49.0,23.5,30.0,2.77,135.58,15,38,-5,44,2009
874,US Palermo,41.0,24.2,16.0,2.93,119.95,5,38,12,65,2009
875,UC Sampdoria,37.0,25.1,6.0,3.05,112.7,4,38,8,67,2009
876,Parma FC,51.0,24.6,16.0,1.62,82.83,8,38,-5,52,2009
877,Cagliari Calcio,35.0,24.3,7.0,2.05,71.8,16,38,-2,44,2009
878,AS Bari,43.0,26.5,14.0,1.61,69.3,10,38,0,50,2009
879,Calcio Catania,36.0,25.6,15.0,1.75,63.05,13,38,-1,45,2009
880,Atalanta BC,39.0,26.1,13.0,1.59,62.05,18,38,-16,35,2009
881,Bologna FC 1909,38.0,27.5,9.0,1.4,53.1,17,38,-13,42,2009
882,AS Livorno,40.0,25.6,10.0,1.17,46.8,20,38,-34,29,2009
883,AC Siena,40.0,25.3,18.0,1.15,45.83,19,38,-27,31,2009
884,Chievo Verona,39.0,26.7,13.0,1.06,41.28,14,38,-5,44,2009
885,FC Internazionale,32.0,27.9,25.0,10.25,327.9,1,38,38,84,2008
886,AC Milan,35.0,27.7,19.0,9.13,319.4,3,38,35,74,2008
887,AS Roma,40.0,25.8,18.0,6.67,266.8,6,38,3,63,2008
888,Juventus FC,34.0,26.6,14.0,7.55,256.85,2,38,32,74,2008
889,ACF Fiorentina,38.0,25.0,18.0,5.19,197.1,4,38,15,68,2008
890,Udinese Calcio,37.0,23.6,20.0,3.37,124.65,7,38,11,58,2008
891,SS Lazio,37.0,25.4,17.0,2.96,109.65,10,38,-9,50,2008
892,US Palermo,47.0,23.9,11.0,2.26,106.35,8,38,7,57,2008
893,SSC Napoli,31.0,27.0,10.0,3.27,101.5,12,38,-2,46,2008
894,UC Sampdoria,47.0,23.5,12.0,2.01,94.3,13,38,-3,46,2008
895,Genoa CFC,47.0,23.2,15.0,1.95,91.7,5,38,17,68,2008
896,Torino FC,35.0,27.2,4.0,1.85,64.9,18,38,-24,34,2008
897,Atalanta BC,36.0,25.0,7.0,1.78,64.2,11,38,-3,47,2008
898,Calcio Catania,37.0,26.5,12.0,1.35,49.9,15,38,-10,43,2008
899,US Lecce,43.0,25.0,21.0,1.06,45.78,20,38,-30,30,2008
