,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
200,SSC Napoli,43.0,24.4,13.0,,,17,34,-16,36,2000
201,AS Bari,45.0,23.6,15.0,,,18,34,-37,20,2000
202,Juventus FC,35.0,27.0,12.0,9.4,329.0,1,38,48,87,2014
203,AS Roma,43.0,25.9,24.0,6.44,276.78,2,38,23,70,2014
204,SSC Napoli,34.0,26.7,23.0,7.71,262.18,5,38,16,63,2014
205,Inter Milan,44.0,24.5,32.0,5.93,260.7,8,38,11,55,2014
206,AC Milan,47.0,25.2,19.0,5.02,236.13,10,38,6,52,2014
207,ACF Fiorentina,49.0,25.9,30.0,4.41,216.13,4,38,15,64,2014
208,SS Lazio,36.0,26.3,27.0,4.65,167.55,3,38,33,69,2014
209,UC Sampdoria,41.0,25.6,20.0,3.23,132.23,7,38,6,56,2014
210,Genoa CFC,48.0,25.1,21.0,2.44,117.33,6,38,15,59,2014
211,Udinese Calcio,50.0,23.9,36.0,2.14,107.18,16,38,-13,41,2014
212,US Palermo,40.0,24.9,22.0,2.32,92.6,11,38,-2,49,2014
213,US Sassuolo,41.0,26.3,8.0,2.22,91.03,12,38,-8,49,2014
214,Atalanta BC,42.0,26.9,16.0,1.99,83.48,17,38,-19,37,2014
215,Torino FC,45.0,26.0,21.0,1.84,82.58,9,38,3,54,2014
216,Cagliari Calcio,36.0,24.5,14.0,2.08,74.7,18,38,-20,34,2014
217,Parma FC,55.0,25.1,24.0,1.2,65.95,20,38,-42,19,2014
218,Chievo Verona,40.0,27.6,23.0,1.55,62.05,14,38,-13,43,2014
219,Empoli FC,40.0,23.8,13.0,1.35,54.03,15,38,-6,42,2014
220,Hellas Verona,38.0,26.4,23.0,1.1,41.8,13,38,-16,46,2014
221,AC Cesena,37.0,25.9,10.0,0.923,34.15,19,38,-37,24,2014
222,Juventus FC,38.0,25.5,21.0,11.58,440.0,1,38,55,91,2015
223,AS Roma,48.0,24.7,33.0,6.94,332.9,3,38,42,80,2015
224,SSC Napoli,34.0,25.9,22.0,9.47,321.93,2,38,48,82,2015
225,Inter Milan,42.0,25.2,30.0,7.01,294.28,4,38,12,67,2015
226,AC Milan,42.0,25.5,16.0,5.09,213.83,7,38,6,57,2015
227,ACF Fiorentina,39.0,26.1,29.0,4.89,190.53,5,38,18,64,2015
228,SS Lazio,38.0,25.7,26.0,4.61,175.3,8,38,0,54,2015
229,UC Sampdoria,43.0,26.0,22.0,2.94,126.53,15,38,-13,40,2015
230,Genoa CFC,47.0,24.2,27.0,2.5,117.55,10,38,-3,46,2015
231,US Sassuolo,39.0,24.7,5.0,2.49,97.0,6,38,9,61,2015
232,Udinese Calcio,43.0,26.3,31.0,2.16,93.0,17,38,-25,39,2015
233,Torino FC,39.0,25.7,17.0,2.3,89.83,12,38,-3,45,2015
234,Atalanta BC,44.0,26.8,15.0,1.78,78.45,13,38,-6,45,2015
235,Bologna FC 1909,42.0,25.7,17.0,1.79,75.23,14,38,-12,42,2015
236,Empoli FC,38.0,24.1,16.0,1.96,74.6,11,38,-9,46,2015
237,US Palermo,40.0,24.5,21.0,1.72,68.68,16,38,-27,39,2015
238,Carpi FC 1909,41.0,25.9,18.0,1.27,52.05,18,38,-20,38,2015
239,Chievo Verona,40.0,27.5,17.0,1.24,49.78,9,38,-2,50,2015
240,Hellas Verona,42.0,25.9,20.0,1.14,47.73,20,38,-29,28,2015
241,Frosinone Calcio,35.0,26.2,10.0,1.09,38.3,19,38,-41,31,2015
242,US Lecce,38.0,24.7,14.0,,,16,34,-20,28,2001
243,Torino Calcio,37.0,25.7,7.0,,,11,34,-2,43,2001
244,Piacenza FC,33.0,26.7,3.0,,,12,34,6,42,2001
245,Juventus FC,39.0,24.6,16.0,,,1,34,41,71,2001
246,Atalanta BC,32.0,25.1,5.0,,,9,34,-9,45,2001
247,Hellas Verona,34.0,24.8,7.0,,,15,34,-12,39,2001
248,FC Internazionale,41.0,25.7,23.0,,,3,34,27,69,2001
249,SS Lazio,39.0,25.9,15.0,,,6,34,13,53,2001
250,Udinese Calcio,45.0,24.8,30.0,,,14,34,-11,40,2001
251,Chievo Verona,35.0,25.4,9.0,,,5,34,5,54,2001
252,AS Roma,37.0,25.2,17.0,,,2,34,34,70,2001
253,Brescia Calcio,44.0,25.4,13.0,,,13,34,-9,40,2001
254,Bologna FC 1909,34.0,24.7,9.0,,,7,34,0,52,2001
255,Juventus FC,33.0,26.6,17.0,19.79,653.15,1,38,62,95,2017
256,SSC Napoli,40.0,25.2,24.0,12.61,504.25,2,38,48,91,2017
257,Inter Milan,34.0,25.9,22.0,14.33,487.28,4,38,36,72,2017
258,AS Roma,47.0,23.7,26.0,9.98,469.1,3,38,33,77,2017
259,SS Lazio,44.0,24.8,28.0,9.29,408.78,5,38,40,72,2017
260,AC Milan,42.0,24.5,17.0,9.69,407.05,6,38,14,64,2017
261,ACF Fiorentina,41.0,23.8,26.0,5.79,237.33,8,38,8,57,2017
262,Atalanta BC,37.0,23.6,17.0,5.62,207.95,7,38,18,60,2017
263,UC Sampdoria,39.0,24.6,25.0,4.88,190.45,10,38,-4,54,2017
264,Torino FC,51.0,23.8,24.0,3.44,175.53,9,38,8,54,2017
265,Genoa CFC,44.0,26.0,25.0,3.07,135.13,12,38,-10,41,2017
266,US Sassuolo,39.0,25.0,7.0,3.25,126.78,11,38,-30,43,2017
267,Udinese Calcio,46.0,24.0,35.0,2.35,108.03,14,38,-15,40,2017
268,Bologna FC 1909,41.0,25.3,24.0,2.53,103.55,15,38,-12,39,2017
269,Cagliari Calcio,41.0,25.4,13.0,2.4,98.58,16,38,-28,39,2017
270,SPAL 2013,42.0,25.4,13.0,1.51,63.55,17,38,-20,38,2017
271,Benevento Calcio,48.0,25.1,21.0,1.2,57.83,20,38,-51,21,2017
272,Hellas Verona,41.0,25.5,18.0,1.38,56.5,19,38,-48,25,2017
273,Chievo Verona,36.0,27.4,16.0,1.53,55.23,13,38,-23,40,2017
274,FC Crotone,40.0,24.1,19.0,1.2,47.88,18,38,-26,35,2017
275,AC Parma,46.0,23.1,12.0,26.0,1.2,5,34,11,58,2003
276,Juventus FC,40.0,25.6,15.0,,,3,34,25,69,2003
277,FC Internazionale,43.0,25.7,25.0,,,4,34,22,59,2003
278,AS Roma,43.0,23.5,16.0,,,2,34,49,71,2003
279,AC Milan,38.0,26.1,15.0,,,1,34,41,82,2003
280,UC Sampdoria,34.0,26.3,5.0,,,8,34,-2,46,2003
281,Udinese Calcio,36.0,25.3,20.0,,,7,34,4,50,2003
282,AC Perugia,61.0,25.0,22.0,,,15,34,-12,32,2003
283,SS Lazio,36.0,27.4,11.0,,,6,34,14,56,2003
284,Brescia Calcio,42.0,24.4,13.0,,,11,34,-5,40,2003
285,US Lecce,39.0,23.5,14.0,,,10,34,-13,41,2003
286,Empoli FC,38.0,24.2,5.0,,,17,34,-28,30,2003
287,Bologna FC 1909,38.0,25.4,9.0,,,12,34,-8,39,2003
288,Reggina Calcio,35.0,24.4,10.0,,,13,34,-16,34,2003
289,Modena FC,41.0,25.9,6.0,,,16,34,-19,30,2003
290,AC Siena,36.0,26.5,13.0,,,14,34,-13,34,2003
291,Chievo Verona,41.0,24.9,7.0,,,9,34,-1,44,2003
292,Ancona Calcio,58.0,26.9,14.0,,,18,34,-49,13,2003
293,Torino Calcio,41.0,25.2,7.0,,,18,34,-35,21,2002
294,Juventus FC,35.0,25.5,11.0,,,1,34,35,72,2002
295,Piacenza FC,36.0,26.4,6.0,,,16,34,-18,30,2002
296,Atalanta BC,36.0,25.3,9.0,,,14,34,-12,38,2002
297,Como Calcio,37.0,26.8,10.0,,,17,34,-28,24,2002
298,FC Internazionale,41.0,25.7,19.0,,,2,34,26,65,2002
299,Milan AC,45.0,25.0,19.0,,,3,34,25,61,2002
300,SS Lazio,37.0,26.5,12.0,,,4,34,25,60,2002
301,AC Parma,37.0,24.3,12.0,,,5,34,19,56,2002
302,Udinese Calcio,35.0,25.3,21.0,,,6,34,3,56,2002
303,Chievo Verona,36.0,26.1,11.0,,,7,34,12,55,2002
304,AS Roma,36.0,26.2,16.0,,,8,34,9,49,2002
305,Brescia Calcio,33.0,24.4,16.0,,,9,34,-2,42,2002
306,AC Perugia,35.0,25.5,10.0,,,10,34,-8,42,2002
307,Bologna FC 1909,35.0,25.5,7.0,,,11,34,-8,41,2002
308,Empoli FC,34.0,24.1,3.0,,,13,34,-10,38,2002
309,Modena FC,35.0,26.6,5.0,,,12,34,-18,38,2002
310,Reggina Calcio,39.0,23.8,11.0,,,15,34,-15,38,2002
311,Juventus FC,38.0,26.2,19.0,13.08,497.18,1,38,50,91,2016
312,SSC Napoli,37.0,25.7,22.0,10.47,387.38,3,38,55,86,2016
313,AS Roma,47.0,23.7,25.0,7.55,354.68,2,38,52,87,2016
314,Inter Milan,41.0,25.4,29.0,8.01,328.3,7,38,23,62,2016
315,AC Milan,42.0,24.9,21.0,6.06,254.33,6,38,12,63,2016
316,SS Lazio,46.0,23.7,33.0,4.92,226.45,5,38,23,70,2016
317,ACF Fiorentina,42.0,24.1,30.0,5.17,217.08,8,38,6,60,2016
318,Torino FC,51.0,24.3,24.0,3.18,162.35,9,38,5,53,2016
319,Atalanta BC,44.0,25.5,16.0,3.68,161.7,4,38,21,72,2016
320,US Sassuolo,48.0,24.5,7.0,3.03,145.25,12,38,-5,46,2016
321,UC Sampdoria,42.0,24.7,28.0,2.8,117.58,10,38,-6,48,2016
322,Genoa CFC,44.0,25.8,23.0,2.46,108.18,16,38,-26,36,2016
323,Udinese Calcio,44.0,24.5,34.0,2.32,101.95,13,38,-9,45,2016
324,Bologna FC 1909,48.0,24.7,22.0,1.98,95.0,15,38,-18,41,2016
325,Cagliari Calcio,46.0,24.7,17.0,1.33,61.08,11,38,-21,47,2016
326,Empoli FC,42.0,24.5,17.0,1.32,55.45,18,38,-32,32,2016
327,Delfino Pescara 1936,50.0,24.7,19.0,0.962,48.1,20,38,-44,18,2016
328,Chievo Verona,44.0,26.3,20.0,1.04,45.88,14,38,-18,43,2016
329,US Palermo,39.0,24.4,23.0,1.05,41.1,19,38,-44,26,2016
330,FC Crotone,37.0,25.0,12.0,0.992,36.7,17,38,-24,34,2016
331,Juventus FC,59.0,25.0,25.0,14.76,871.05,1,38,40,90,2018
332,SSC Napoli,54.0,24.3,27.0,11.98,646.8,2,38,38,79,2018
333,Inter Milan,60.0,24.0,30.0,10.3,617.93,4,38,24,69,2018
334,AC Milan,45.0,24.4,22.0,12.86,578.48,5,38,19,68,2018
335,AS Roma,57.0,23.7,27.0,8.05,459.05,6,38,18,66,2018
336,Atalanta BC,88.0,22.7,29.0,4.18,367.68,3,38,31,69,2018
337,ACF Fiorentina,56.0,22.9,36.0,5.63,315.33,16,38,2,41,2018
338,SS Lazio,57.0,24.4,33.0,5.11,291.15,8,38,10,59,2018
339,US Sassuolo,59.0,23.8,15.0,4.1,242.05,11,38,-7,43,2018
340,Torino FC,62.0,23.7,29.0,3.86,239.23,7,38,15,63,2018
341,UC Sampdoria,59.0,23.5,30.0,3.67,216.75,9,38,9,53,2018
342,Udinese Calcio,56.0,24.7,41.0,3.59,201.2,12,38,-14,43,2018
343,Genoa CFC,69.0,23.8,35.0,2.78,191.73,17,38,-18,38,2018
344,Cagliari Calcio,49.0,25.9,18.0,3.17,155.38,15,38,-18,41,2018
345,Bologna FC 1909,48.0,25.0,28.0,2.49,119.68,10,38,-8,44,2018
346,Empoli FC,59.0,24.1,24.0,1.79,105.6,18,38,-19,38,2018
347,SPAL,51.0,25.3,20.0,1.91,97.4,13,38,-12,42,2018
348,Parma Calcio 1913,70.0,25.6,19.0,1.37,95.75,14,38,-20,41,2018
349,Chievo Verona,68.0,24.7,32.0,0.804,54.7,20,38,-50,17,2018
350,Frosinone Calcio,44.0,25.8,10.0,1.24,54.53,19,38,-40,25,2018
351,Juventus FC,38.0,26.8,23.0,17.42,661.88,1,38,33,83,2019
352,Inter Milan,34.0,26.7,18.0,17.83,606.05,2,38,45,82,2019
353,SSC Napoli,33.0,26.7,24.0,16.61,548.28,7,38,11,62,2019
354,AC Milan,37.0,25.2,22.0,10.93,404.33,6,38,17,66,2019
355,AS Roma,36.0,25.6,23.0,10.91,392.73,5,38,26,70,2019
356,SS Lazio,34.0,26.1,24.0,8.94,303.88,4,38,37,78,2019
357,ACF Fiorentina,42.0,24.7,28.0,7.2,302.23,10,38,3,49,2019
358,Atalanta BC,37.0,24.9,26.0,7.88,291.43,3,38,50,78,2019
359,US Sassuolo,44.0,24.3,17.0,3.82,167.98,8,38,6,51,2019
360,Cagliari Calcio,41.0,25.8,16.0,4.09,167.83,14,38,-4,45,2019
361,Torino FC,37.0,24.7,17.0,4.42,163.55,16,38,-22,40,2019
362,Genoa CFC,43.0,26.2,25.0,3.31,142.38,17,38,-26,39,2019
363,UC Sampdoria,38.0,25.1,19.0,3.56,135.28,15,38,-17,42,2019
364,Bologna FC 1909,40.0,24.5,26.0,3.24,129.65,12,38,-13,47,2019
365,Parma Calcio 1913,40.0,26.1,19.0,3.22,128.75,11,38,-1,49,2019
366,Udinese Calcio,39.0,24.9,28.0,3.1,121.08,13,38,-14,45,2019
367,Hellas Verona,40.0,25.0,19.0,2.81,112.53,9,38,-4,49,2019
368,Brescia Calcio,33.0,25.9,11.0,2.52,83.23,19,38,-44,25,2019
369,SPAL,42.0,25.6,23.0,1.75,73.63,20,38,-50,20,2019
370,US Lecce,47.0,25.0,17.0,1.11,52.33,18,38,-33,35,2019
371,Juventus FC,43.0,25.0,24.0,14.94,642.5,4,38,20,70,2021
372,Inter Milan,36.0,27.2,20.0,15.52,558.55,2,38,52,84,2021
373,AC Milan,37.0,25.3,22.0,14.78,546.95,1,38,38,86,2021
374,SSC Napoli,37.0,25.3,20.0,12.9,477.23,3,38,43,79,2021
375,Atalanta BC,44.0,24.5,24.0,9.06,398.75,8,38,17,59,2021
376,AS Roma,39.0,23.8,25.0,9.78,381.25,6,38,16,63,2021
377,ACF Fiorentina,38.0,25.4,22.0,8.57,325.8,7,38,8,62,2021
378,SS Lazio,34.0,27.2,24.0,7.78,264.48,5,38,19,64,2021
379,US Sassuolo,43.0,25.0,21.0,5.84,251.0,11,38,-2,50,2021
380,Torino FC,41.0,24.8,25.0,5.45,223.4,10,38,5,50,2021
381,Hellas Verona,43.0,24.7,19.0,3.79,162.98,9,38,6,53,2021
382,Udinese Calcio,44.0,25.0,26.0,3.23,142.3,12,38,3,47,2021
383,Cagliari Calcio,46.0,25.0,23.0,2.92,134.53,18,38,-34,30,2021
384,UC Sampdoria,46.0,26.2,19.0,2.79,128.55,15,38,-17,36,2021
385,FC Empoli,40.0,24.5,12.0,3.16,126.5,14,38,-20,41,2021
386,Genoa CFC,47.0,26.1,24.0,2.58,121.28,19,38,-33,28,2021
387,Venezia FC,51.0,24.7,35.0,1.59,80.98,20,38,-35,27,2021
388,Spezia Calcio,34.0,23.6,23.0,2.31,78.5,16,38,-30,36,2021
389,US Salernitana 1919,51.0,25.9,26.0,1.38,70.56,17,38,-45,31,2021
390,FC Internazionale,47.0,24.9,31.0,8.44,396.5,1,38,41,82,2009
391,Juventus FC,44.0,25.6,14.0,6.21,273.1,7,38,-1,55,2009
392,AC Milan,41.0,26.8,16.0,6.25,256.45,3,38,21,70,2009
393,AS Roma,45.0,25.3,20.0,5.45,245.15,2,38,27,80,2009
394,ACF Fiorentina,46.0,24.0,22.0,4.55,209.3,11,38,1,47,2009
395,SSC Napoli,34.0,26.7,12.0,4.28,145.63,6,38,7,59,2009
396,SS Lazio,62.0,24.8,23.0,2.28,141.1,12,38,-4,46,2009
397,Genoa CFC,47.0,24.2,17.0,2.89,135.85,9,38,-4,51,2009
398,Udinese Calcio,49.0,23.5,30.0,2.77,135.58,15,38,-5,44,2009
399,US Palermo,41.0,24.2,16.0,2.93,119.95,5,38,12,65,2009
400,UC Sampdoria,37.0,25.1,6.0,3.05,112.7,4,38,8,67,2009
401,Parma FC,51.0,24.6,16.0,1.62,82.83,8,38,-5,52,2009
402,Cagliari Calcio,35.0,24.3,7.0,2.05,71.8,16,38,-2,44,2009
403,AS Bari,43.0,26.5,14.0,1.61,69.3,10,38,0,50,2009
404,Calcio Catania,36.0,25.6,15.0,1.75,63.05,13,38,-1,45,2009
405,Atalanta BC,39.0,26.1,13.0,1.59,62.05,18,38,-16,35,2009
406,Bologna FC 1909,38.0,27.5,9.0,1.4,53.1,17,38,-13,42,2009
407,AS Livorno,40.0,25.6,10.0,1.17,46.8,20,38,-34,29,2009
408,AC Siena,40.0,25.3,18.0,1.15,45.83,19,38,-27,31,2009
409,Chievo Verona,39.0,26.7,13.0,1.06,41.28,14,38,-5,44,2009
410,FC Internazionale,32.0,27.9,25.0,10.25,327.9,1,38,38,84,2008
411,AC Milan,35.0,27.7,19.0,9.13,319.4,3,38,35,74,2008
412,AS Roma,40.0,25.8,18.0,6.67,266.8,6,38,3,63,2008
413,Juventus FC,34.0,26.6,14.0,7.55,256.85,2,38,32,74,2008
414,ACF Fiorentina,38.0,25.0,18.0,5.19,197.1,4,38,15,68,2008
415,Udinese Calcio,37.0,23.6,20.0,3.37,124.65,7,38,11,58,2008
416,SS Lazio,37.0,25.4,17.0,2.96,109.65,10,38,-9,50,2008
417,US Palermo,47.0,23.9,11.0,2.26,106.35,8,38,7,57,2008
418,SSC Napoli,31.0,27.0,10.0,3.27,101.5,12,38,-2,46,2008
419,UC Sampdoria,47.0,23.5,12.0,2.01,94.3,13,38,-3,46,2008
420,Genoa CFC,47.0,23.2,15.0,1.95,91.7,5,38,17,68,2008
421,Torino FC,35.0,27.2,4.0,1.85,64.9,18,38,-24,34,2008
422,Atalanta BC,36.0,25.0,7.0,1.78,64.2,11,38,-3,47,2008
423,Calcio Catania,37.0,26.5,12.0,1.35,49.9,15,38,-10,43,2008
424,US Lecce,43.0,25.0,21.0,1.06,45.78,20,38,-30,30,2008
425,Cagliari Calcio,36.0,24.1,6.0,1.27,45.68,9,38,-1,53,2008
426,AC Siena,40.0,25.1,17.0,1.13,45.3,14,38,-11,44,2008
427,Bologna FC 1909,34.0,28.3,7.0,1.19,40.3,17,38,-19,37,2008
428,Chievo Verona,38.0,27.1,11.0,1.01,38.25,16,38,-14,38,2008
429,Reggina Calcio,42.0,24.3,13.0,0.854,35.85,19,38,-32,31,2008
430,Inter Milan,41.0,25.2,22.0,16.19,663.9,1,38,54,91,2020
431,Juventus FC,45.0,24.7,26.0,14.07,633.3,4,38,39,78,2020
432,AC Milan,42.0,23.9,27.0,13.04,547.78,2,38,33,79,2020
433,SSC Napoli,32.0,26.0,21.0,16.57,530.2,5,38,45,77,2020
434,Atalanta BC,39.0,25.0,21.0,11.03,430.0,3,38,43,78,2020
435,AS Roma,46.0,24.6,28.0,8.6,395.65,7,38,10,62,2020
436,SS Lazio,44.0,25.6,32.0,7.42,326.33,6,38,6,68,2020
437,ACF Fiorentina,41.0,25.7,24.0,7.0,286.8,13,38,-12,40,2020
438,US Sassuolo,39.0,24.9,18.0,6.2,241.74,8,38,8,62,2020
439,Cagliari Calcio,42.0,25.4,19.0,4.47,187.83,16,38,-16,37,2020
440,Torino FC,40.0,25.4,22.0,4.38,175.28,17,38,-19,37,2020
441,Udinese Calcio,42.0,25.8,30.0,4.12,173.0,14,38,-16,40,2020
442,Hellas Verona,46.0,24.2,20.0,3.42,157.21,10,38,-2,45,2020
443,Bologna FC 1909,45.0,24.1,28.0,3.41,153.6,12,38,-14,41,2020
444,Parma Calcio 1913,53.0,25.1,30.0,2.43,128.7,20,38,-44,20,2020
445,UC Sampdoria,34.0,26.4,18.0,3.74,127.18,9,38,-2,52,2020
446,Genoa CFC,44.0,26.5,23.0,2.54,111.93,11,38,-11,42,2020
447,Spezia Calcio,39.0,25.7,17.0,1.84,71.68,15,38,-20,39,2020
448,FC Crotone,41.0,26.0,19.0,1.29,52.75,19,38,-47,23,2020
449,Benevento Calcio,36.0,27.4,14.0,1.39,50.13,18,38,-35,33,2020
450,Udinese Calcio,39.0,23.4,15.0,,,3,34,22,64,1997
451,Piacenza FC,27.0,26.4,0.0,,,12,34,-9,37,1997
452,Milan AC,38.0,24.7,16.0,,,10,34,-6,44,1997
453,Vicenza Calcio,30.0,24.4,4.0,,,14,34,-25,36,1997
454,AS Roma,33.0,24.7,12.0,,,4,34,25,59,1997
455,Juventus FC,34.0,24.1,8.0,,,1,34,39,74,1997
456,SSC Napoli,34.0,25.1,7.0,,,18,34,-51,14,1997
457,Empoli FC,38.0,24.3,4.0,,,13,34,-8,37,1997
458,FC Internazionale,40.0,24.3,13.0,,,2,34,35,69,1997
459,Atalanta BC,34.0,24.8,5.0,,,16,34,-23,32,1997
460,AC Parma,33.0,25.4,10.0,,,6,34,16,57,1997
461,US Lecce,35.0,25.7,8.0,,,17,34,-40,26,1997
462,AS Bari,32.0,24.5,7.0,,,11,34,-15,38,1997
463,Bologna FC 1909,35.0,25.6,5.0,,,8,34,9,48,1997
464,SS Lazio,31.0,25.7,6.0,,,7,34,23,56,1997
465,UC Sampdoria,32.0,26.3,13.0,,,9,34,-3,48,1997
466,Brescia Calcio,33.0,25.9,7.0,,,15,34,-18,35,1997
467,Vicenza Calcio,28.0,24.7,3.0,,,8,34,5,47,1996
468,Milan AC,40.0,24.7,10.0,,,11,34,-2,43,1996
469,Juventus FC,31.0,24.2,7.0,,,1,34,27,65,1996
470,AC Reggiana,41.0,25.6,9.0,,,18,34,-39,19,1996
471,AS Roma,32.0,25.6,9.0,,,12,34,-1,41,1996
472,Atalanta BC,35.0,24.1,4.0,,,10,34,-2,44,1996
473,SSC Napoli,29.0,24.5,6.0,,,13,34,-7,41,1996
474,FC Internazionale,30.0,25.5,8.0,,,3,34,16,59,1996
475,AC Perugia,36.0,24.9,6.0,,,16,34,-14,37,1996
476,AC Parma,33.0,24.6,9.0,,,2,34,15,63,1996
477,Bologna FC 1909,31.0,25.7,4.0,,,7,34,6,49,1996
478,Hellas Verona,35.0,24.4,3.0,,,17,34,-26,27,1996
479,UC Sampdoria,26.0,25.7,5.0,,,6,34,14,53,1996
480,SS Lazio,28.0,24.8,4.0,,,4,34,17,55,1996
481,Cagliari Calcio,29.0,25.4,7.0,,,14,34,-10,37,1996
482,Udinese Calcio,31.0,25.7,9.0,,,5,34,12,54,1996
483,Piacenza FC,28.0,25.1,0.0,,,15,34,-16,37,1996
484,SS Lazio,31.0,24.5,6.0,,,3,34,35,63,1994
485,Calcio Padova,25.0,26.5,3.0,,,15,34,-21,40,1994
486,Milan AC,32.0,26.7,5.0,,,4,34,21,60,1994
487,Torino Calcio,36.0,24.3,4.0,,,11,34,-4,45,1994
488,AC Reggiana,34.0,23.4,5.0,,,17,34,-32,18,1994
489,AS Roma,25.0,25.4,4.0,,,5,34,21,59,1994
490,SSC Napoli,29.0,24.0,4.0,,,7,34,-5,51,1994
491,Brescia Calcio,35.0,24.9,3.0,,,18,34,-47,12,1994
492,Juventus FC,30.0,24.4,4.0,,,1,34,27,73,1994
493,FC Internazionale,30.0,25.2,5.0,,,6,34,5,52,1994
494,Foggia Calcio,26.0,23.0,1.0,,,16,34,-18,34,1994
495,AC Parma,29.0,27.4,5.0,,,2,34,20,63,1994
496,UC Sampdoria,28.0,26.3,4.0,,,8,34,14,50,1994
497,Genoa 1893,31.0,26.0,3.0,,,14,34,-15,40,1994
498,Cagliari Calcio,24.0,24.8,3.0,,,9,34,1,49,1994
499,AS Bari,24.0,25.1,2.0,,,12,34,-3,44,1994
500,US Cremonese,22.0,26.7,1.0,,,13,34,-3,41,1994
501,Juventus FC,40.0,26.3,17.0,8.45,337.9,1,38,47,87,2012
502,FC Internazionale,55.0,24.3,33.0,4.41,242.8,9,38,-2,54,2012
503,AC Milan,42.0,25.5,22.0,5.68,238.53,3,38,28,72,2012
504,SSC Napoli,41.0,26.2,18.0,5.79,237.25,2,38,37,78,2012
505,ACF Fiorentina,42.0,25.2,25.0,5.09,213.65,4,38,28,70,2012
506,AS Roma,37.0,24.6,22.0,4.69,173.4,6,38,15,62,2012
507,SS Lazio,55.0,24.9,29.0,2.61,143.28,7,38,9,61,2012
508,Udinese Calcio,48.0,23.3,23.0,2.52,121.0,5,38,14,66,2012
509,Genoa CFC,46.0,26.5,23.0,2.14,98.5,17,38,-14,38,2012
510,UC Sampdoria,37.0,25.3,17.0,2.32,85.93,14,38,-8,42,2012
511,Parma FC,42.0,25.6,18.0,2.04,85.78,10,38,-1,49,2012
512,US Palermo,52.0,25.2,29.0,1.56,80.95,18,38,-20,32,2012
513,Bologna FC 1909,49.0,24.5,18.0,1.6,78.55,13,38,-6,44,2012
514,Calcio Catania,38.0,25.4,22.0,2.01,76.48,8,38,4,56,2012
515,Cagliari Calcio,34.0,24.0,12.0,2.25,76.38,11,38,-12,47,2012
516,Atalanta BC,43.0,27.7,12.0,1.72,74.1,15,38,-17,40,2012
517,Torino FC,38.0,25.8,18.0,1.62,61.6,16,38,-9,39,2012
518,Chievo Verona,46.0,26.8,26.0,1.2,55.1,12,38,-15,45,2012
519,Delfino Pescara 1936,52.0,24.5,15.0,0.919,47.8,20,38,-57,22,2012
520,AC Siena,48.0,27.3,17.0,0.989,47.48,19,38,-21,30,2012
521,AC Milan,43.0,27.0,16.0,6.38,274.35,4,38,21,61,2006
522,FC Internazionale,59.0,23.8,31.0,4.53,267.23,1,38,46,97,2006
523,AS Roma,40.0,24.7,17.0,5.17,206.65,2,38,40,75,2006
524,ACF Fiorentina,38.0,24.1,15.0,4.2,159.6,6,38,31,58,2006
525,US Palermo,52.0,23.8,8.0,2.45,127.28,5,38,7,58,2006
526,SS Lazio,34.0,26.7,10.0,3.1,105.35,3,38,26,62,2006
527,Udinese Calcio,52.0,21.9,25.0,2.01,104.58,10,38,-6,46,2006
528,Chievo Verona,53.0,24.9,9.0,1.58,83.5,18,38,-10,39,2006
529,UC Sampdoria,42.0,24.3,9.0,1.65,69.45,9,38,-4,49,2006
530,AS Livorno,34.0,27.9,11.0,2.01,68.33,11,38,-13,43,2006
531,Torino FC,37.0,28.9,7.0,1.5,55.55,16,38,-20,40,2006
532,Atalanta BC,40.0,25.5,8.0,1.34,53.48,8,38,2,50,2006
533,Reggina Calcio,43.0,24.1,7.0,1.17,50.1,14,38,2,40,2006
534,Parma FC,38.0,24.2,8.0,1.23,46.9,12,38,-15,42,2006
535,AC Siena,39.0,26.1,12.0,1.18,46.08,15,38,-10,40,2006
536,Cagliari Calcio,35.0,24.9,5.0,1.29,45.1,17,38,-11,40,2006
537,Empoli FC,35.0,24.3,2.0,1.27,44.3,7,38,-1,54,2006
538,FC Messina Peloro,46.0,26.5,12.0,0.882,40.58,20,38,-32,26,2006
539,Calcio Catania,36.0,27.3,6.0,1.07,38.6,13,38,-22,41,2006
540,Ascoli Calcio 1898,47.0,25.9,9.0,0.549,25.8,19,38,-31,27,2006
541,FC Internazionale,48.0,25.4,31.0,6.46,310.0,1,38,43,85,2007
542,AC Milan,41.0,27.1,18.0,6.81,279.4,5,38,28,64,2007
543,AS Roma,37.0,25.7,19.0,6.61,244.4,2,38,35,82,2007
544,Juventus FC,38.0,25.3,14.0,6.23,236.85,3,38,35,72,2007
545,ACF Fiorentina,46.0,23.3,16.0,3.73,171.35,4,38,16,66,2007
546,Udinese Calcio,49.0,22.7,24.0,2.35,115.05,7,38,-5,57,2007
547,SS Lazio,40.0,26.1,15.0,2.77,110.8,12,38,-4,46,2007
548,US Palermo,43.0,23.7,6.0,2.44,104.8,11,38,-10,47,2007
549,SSC Napoli,30.0,26.8,9.0,2.57,76.95,8,38,-3,50,2007
550,UC Sampdoria,41.0,24.3,8.0,1.85,75.7,6,38,10,60,2007
551,Genoa CFC,45.0,24.9,17.0,1.41,63.25,10,38,-8,48,2007
