,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,39.0,25.6,14.0,7.82,304.9,1,38,40,86,2004
1,AC Milan,37.0,26.7,17.0,7.4,273.7,2,38,35,79,2004
2,FC Internazionale,50.0,24.3,25.0,4.81,240.63,3,38,28,72,2004
3,AS Roma,40.0,23.1,10.0,4.69,187.6,8,38,-3,45,2004
4,ACF Fiorentina,48.0,25.0,13.0,2.33,111.83,16,38,-8,42,2004
5,Parma FC,44.0,23.3,8.0,2.5,110.05,18,38,-17,42,2004
6,Udinese Calcio,34.0,25.0,17.0,2.47,83.95,4,38,16,62,2004
7,US Palermo,29.0,25.1,5.0,2.72,78.75,6,38,4,53,2004
8,SS Lazio,45.0,25.8,12.0,1.71,77.05,13,38,-5,44,2004
9,AC Siena,40.0,27.1,9.0,1.37,54.9,14,38,-11,43,2004
10,UC Sampdoria,37.0,25.2,3.0,1.38,51.0,5,38,13,61,2004
11,Chievo Verona,42.0,25.3,7.0,1.1,46.28,15,38,-17,43,2004
12,Brescia Calcio,32.0,24.6,11.0,1.41,45.25,19,38,-17,41,2004
13,US Lecce,33.0,23.3,13.0,1.36,44.9,11,38,-7,44,2004
14,Atalanta BC,40.0,25.0,6.0,1.04,41.7,20,38,-11,35,2004
15,FC Messina Peloro,45.0,24.6,10.0,0.726,32.65,7,38,-8,48,2004
16,Bologna FC 1909,40.0,25.8,6.0,0.748,29.94,17,38,-3,42,2004
17,Reggina Calcio,35.0,23.9,8.0,0.837,29.3,10,38,-9,44,2004
18,AS Livorno,37.0,26.2,8.0,0.676,25.0,9,38,-11,45,2004
19,Cagliari Calcio,31.0,26.2,6.0,0.771,23.9,12,38,-9,44,2004
