,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,FC Internazionale,47.0,24.9,31.0,8.44,396.5,1,38,41,82,2009
1,Juventus FC,44.0,25.6,14.0,6.21,273.1,7,38,-1,55,2009
2,AC Milan,41.0,26.8,16.0,6.25,256.45,3,38,21,70,2009
3,AS Roma,45.0,25.3,20.0,5.45,245.15,2,38,27,80,2009
4,ACF Fiorentina,46.0,24.0,22.0,4.55,209.3,11,38,1,47,2009
5,SSC Napoli,34.0,26.7,12.0,4.28,145.63,6,38,7,59,2009
6,SS Lazio,62.0,24.8,23.0,2.28,141.1,12,38,-4,46,2009
7,Genoa CFC,47.0,24.2,17.0,2.89,135.85,9,38,-4,51,2009
8,Udinese Calcio,49.0,23.5,30.0,2.77,135.58,15,38,-5,44,2009
9,US Palermo,41.0,24.2,16.0,2.93,119.95,5,38,12,65,2009
10,UC Sampdoria,37.0,25.1,6.0,3.05,112.7,4,38,8,67,2009
11,Parma FC,51.0,24.6,16.0,1.62,82.83,8,38,-5,52,2009
12,Cagliari Calcio,35.0,24.3,7.0,2.05,71.8,16,38,-2,44,2009
13,AS Bari,43.0,26.5,14.0,1.61,69.3,10,38,0,50,2009
14,Calcio Catania,36.0,25.6,15.0,1.75,63.05,13,38,-1,45,2009
15,Atalanta BC,39.0,26.1,13.0,1.59,62.05,18,38,-16,35,2009
16,Bologna FC 1909,38.0,27.5,9.0,1.4,53.1,17,38,-13,42,2009
17,AS Livorno,40.0,25.6,10.0,1.17,46.8,20,38,-34,29,2009
18,AC Siena,40.0,25.3,18.0,1.15,45.83,19,38,-27,31,2009
19,Chievo Verona,39.0,26.7,13.0,1.06,41.28,14,38,-5,44,2009
