,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Udinese Calcio,34.0,23.6,17.0,-,-,7,34,0,54,1998
1,Cagliari Calcio,31.0,25.5,9.0,-,-,12,34,-1,41,1998
2,Piacenza FC,29.0,26.0,0.0,-,-,13,34,-1,41,1998
3,AS Roma,30.0,24.9,12.0,-,-,5,34,20,54,1998
4,Juventus FC,37.0,24.2,13.0,-,-,6,34,6,54,1998
5,Vicenza Calcio,38.0,24.8,7.0,-,-,17,34,-20,33,1998
6,FC Internazionale,36.0,24.9,19.0,-,-,8,34,5,46,1998
7,Empoli FC,39.0,23.3,11.0,-,-,18,34,-37,20,1998
8,AS Bari,29.0,23.8,10.0,-,-,10,34,-5,42,1998
9,US Salernitana,37.0,24.8,6.0,-,-,15,34,-14,38,1998
10,Bologna FC 1909,34.0,26.3,7.0,-,-,9,34,-3,44,1998
11,SS Lazio,36.0,25.7,10.0,-,-,2,34,34,69,1998
12,UC Sampdoria,36.0,25.1,13.0,-,-,16,34,-17,37,1998
