,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,US Lecce,38.0,24.7,14.0,-,-,16,34,-20,28,2001
1,Torino Calcio,37.0,25.7,7.0,-,-,11,34,-2,43,2001
2,Piacenza FC,33.0,26.7,3.0,-,-,12,34,6,42,2001
3,Juventus FC,39.0,24.6,16.0,-,-,1,34,41,71,2001
4,Atalanta BC,32.0,25.1,5.0,-,-,9,34,-9,45,2001
5,Hellas Verona,34.0,24.8,7.0,-,-,15,34,-12,39,2001
6,FC Internazionale,41.0,25.7,23.0,-,-,3,34,27,69,2001
7,SS Lazio,39.0,25.9,15.0,-,-,6,34,13,53,2001
8,Udinese Calcio,45.0,24.8,30.0,-,-,14,34,-11,40,2001
9,Chievo Verona,35.0,25.4,9.0,-,-,5,34,5,54,2001
10,AS Roma,37.0,25.2,17.0,-,-,2,34,34,70,2001
11,Brescia Calcio,44.0,25.4,13.0,-,-,13,34,-9,40,2001
12,Bologna FC 1909,34.0,24.7,9.0,-,-,7,34,0,52,2001
