,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Torino Calcio,41.0,25.2,7.0,-,-,18,34,-35,21,2002
1,Juventus FC,35.0,25.5,11.0,-,-,1,34,35,72,2002
2,Piacenza FC,36.0,26.4,6.0,-,-,16,34,-18,30,2002
3,Atalanta BC,36.0,25.3,9.0,-,-,14,34,-12,38,2002
4,Como Calcio,37.0,26.8,10.0,-,-,17,34,-28,24,2002
5,FC Internazionale,41.0,25.7,19.0,-,-,2,34,26,65,2002
6,Milan AC,45.0,25.0,19.0,-,-,3,34,25,61,2002
7,SS Lazio,37.0,26.5,12.0,-,-,4,34,25,60,2002
8,AC Parma,37.0,24.3,12.0,-,-,5,34,19,56,2002
9,Udinese Calcio,35.0,25.3,21.0,-,-,6,34,3,56,2002
10,Chievo Verona,36.0,26.1,11.0,-,-,7,34,12,55,2002
11,AS Roma,36.0,26.2,16.0,-,-,8,34,9,49,2002
12,Brescia Calcio,33.0,24.4,16.0,-,-,9,34,-2,42,2002
13,AC Perugia,35.0,25.5,10.0,-,-,10,34,-8,42,2002
14,Bologna FC 1909,35.0,25.5,7.0,-,-,11,34,-8,41,2002
15,Empoli FC,34.0,24.1,3.0,-,-,13,34,-10,38,2002
16,Modena FC,35.0,26.6,5.0,-,-,12,34,-18,38,2002
17,Reggina Calcio,39.0,23.8,11.0,-,-,15,34,-15,38,2002
